title,type,imageName,category_id
Bike,Expense,,d71face0-704a-49ff-8c96-9778abb5d2e3
Bills,Expense,,10000000-0000-0000-0000-000000000012
Books,Expense,,1b9b07df-5019-43f8-8942-e557c9d0f914
Brewery,Expense,,6b86fb91-20d2-4296-8fc0-11af8f5db354
Car,Expense,,10000000-0000-0000-0000-000000000003
Career,Expense,,8f3ee15b-f6b5-472f-8deb-939998b50f55
Clothes,Expense,,10000000-0000-0000-0000-00000000000b
Communications,Expense,,10000000-0000-0000-0000-00000000000c
"Eating out",Expense,,10000000-0000-0000-0000-000000000004
Entertainment,Expense,,10000000-0000-0000-0000-000000000007
Food,Expense,,10000000-0000-0000-0000-000000000001
Fuel,Expense,,968edc2b-7a45-41ec-8be9-e213be5528f8
Gifts,Expense,,10000000-0000-0000-0000-00000000000d
Health,Expense,,10000000-0000-0000-0000-00000000000a
Hospital,Expense,,7adc3dbd-e8b1-494f-8685-6c84d84c4f96
House,Expense,,10000000-0000-0000-0000-000000000002
OTT,Expense,,420b8538-1df3-40d2-824b-94b5c2a176e5
Pets,Expense,,10000000-0000-0000-0000-00000000000e
Sports,Expense,,10000000-0000-0000-0000-000000000008
Taxi,Expense,,10000000-0000-0000-0000-000000000009
Toiletry,Expense,,10000000-0000-0000-0000-000000000006
Toxicity,Expense,,02380fa8-41a8-43fa-8e7b-2a579cfacfc2
Transport,Expense,,10000000-0000-0000-0000-000000000005
health,Expense,,1356556b-523d-42d8-a52c-a187da9c433c
Deposits,Income,,10000000-0000-0000-0000-000000000011
Repayment,Income,,24d67a57-69ef-4499-82e4-70611a4a4f6e
Salary,Income,,10000000-0000-0000-0000-00000000000f
Savings,Income,,10000000-0000-0000-0000-000000000010
